id,Arrival Date,Variety,State,Market,Min / Max Price (Rs./Quintal),Average price (Rs./Quintal),Commodity
,,,,,,,
0,18/06/2022,Dry Grapes,Karnataka,Bangalore,14000.00 - 28000.00,21000.00 ,Dry Grapes
1,16/06/2022,Dry Grapes,Karnataka,Bangalore,14000.00 - 28000.00,21000.00 ,Dry Grapes
2,14/06/2022,Dry Grapes,Karnataka,Bijapur,1000.00 - 17400.00,11600.00 ,Dry Grapes
3,13/06/2022,Dry Grapes,Karnataka,Bijapur,1500.00 - 19800.00,11300.00 ,Dry Grapes
4,10/06/2022,Dry Grapes,Karnataka,Bangalore,14000.00 - 28000.00,21000.00 ,Dry Grapes
5,07/06/2022,Dry Grapes,Karnataka,Bangalore,14000.00 - 28000.00,21000.00 ,Dry Grapes
6,07/06/2022,Dry Grapes,Karnataka,Bijapur,1000.00 - 18000.00,11900.00 ,Dry Grapes
7,04/06/2022,Other,Maharashtra,Sangli,4000.00 - 20100.00,12050.00 ,Dry Grapes
8,04/06/2022,Dry Grapes,Karnataka,Bijapur,1500.00 - 17500.00,11800.00 ,Dry Grapes
9,03/06/2022,Dry Grapes,Karnataka,Bangalore,19500.00 - 23000.00,21250.00 ,Dry Grapes
10,31/05/2022,Dry Grapes,Karnataka,Bijapur,2000.00 - 19000.00,11900.00 ,Dry Grapes
11,31/05/2022,Dry Grapes,Karnataka,Bangalore,19500.00 - 23000.00,21250.00 ,Dry Grapes
12,30/05/2022,Dry Grapes,Karnataka,Bijapur,1000.00 - 18100.00,11100.00 ,Dry Grapes
13,24/05/2022,Dry Grapes,Karnataka,Bangalore,13000.00 - 55000.00,34000.00 ,Dry Grapes
14,24/05/2022,Dry Grapes,Karnataka,Bijapur,1000.00 - 19500.00,12300.00 ,Dry Grapes
15,21/05/2022,Dry Grapes,Karnataka,Bijapur,1500.00 - 17100.00,11600.00 ,Dry Grapes
16,11/05/2022,Dry Grapes,Karnataka,Bangalore,13000.00 - 55000.00,34000.00 ,Dry Grapes
17,10/05/2022,Dry Grapes,Karnataka,Bijapur,1000.00 - 19500.00,12300.00 ,Dry Grapes
18,07/05/2022,Dry Grapes,Karnataka,Bijapur,1000.00 - 18200.00,12600.00 ,Dry Grapes
19,04/05/2022,Dry Grapes,Karnataka,Bangalore,13000.00 - 55000.00,34000.00 ,Dry Grapes
